City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Dingle,PH,10.9995,122.6711,82.96,79,100,17.6,overcast clouds
80,Bowen,AU,-20.0167,148.2333,79.02,61,6,9.4,clear sky
81,Paramonga,PE,-10.6667,-77.8333,63.37,85,57,10.76,broken clouds
82,Puerto Leguizamo,CO,-0.1934,-74.7819,71.6,96,100,1.68,overcast clouds
83,Quatre Cocos,MU,-20.2078,57.7625,68.09,76,27,10.85,light rain
84,Taltal,CL,-25.4,-70.4833,56.62,81,99,4.76,overcast clouds
85,Hithadhoo,MV,-0.6,73.0833,80.82,74,74,2.01,broken clouds
86,Georgetown,MY,5.4112,100.3354,86.9,84,20,3.0,moderate rain
87,Marau,BR,-28.4492,-52.2,55.38,58,0,3.89,clear sky
88,Porbandar,IN,21.6422,69.6093,82.9,85,100,16.67,light rain
89,Porto Novo,BJ,6.4965,2.6036,78.62,80,12,7.36,few clouds
90,Chokurdakh,RU,70.6333,147.9167,47.08,60,98,14.47,overcast clouds
91,Touros,BR,-5.1989,-35.4608,72.5,84,18,15.43,few clouds
92,Yellowknife,CA,62.456,-114.3525,66.72,77,90,3.44,light rain
93,Faanui,PF,-16.4833,-151.75,78.06,67,23,12.66,few clouds
94,Tuktoyaktuk,CA,69.4541,-133.0374,60.8,48,75,16.11,broken clouds
95,Caico,BR,-6.4583,-37.0978,72.95,70,0,17.9,clear sky
96,Palmer,US,42.1584,-72.3287,68.04,83,40,0.0,scattered clouds
97,Acapulco,MX,16.8634,-99.8901,82.4,81,100,9.8,overcast clouds
98,Mar Del Plata,AR,-38.0023,-57.5575,51.82,64,40,20.0,scattered clouds
99,Farah,AF,32.5,62.5,84.49,18,0,6.93,clear sky
100,Kruisfontein,ZA,-34.0033,24.7314,39.88,81,3,5.77,clear sky
101,Beloha,MG,-25.1667,45.05,62.91,55,100,9.86,overcast clouds
102,Coquimbo,CL,-29.9533,-71.3436,53.33,76,90,2.3,overcast clouds
103,Hobart,AU,-42.8794,147.3294,54.23,71,75,5.01,broken clouds
104,Batemans Bay,AU,-35.7167,150.1833,60.91,53,92,11.72,overcast clouds
105,Sisimiut,GL,66.9395,-53.6735,41.27,98,100,9.42,heavy intensity rain
106,Requena,ES,39.4883,-1.1004,69.71,29,0,5.26,clear sky
107,Maniitsoq,GL,65.4167,-52.9,41.38,97,100,22.95,moderate rain
108,Naze,JP,28.3667,129.4833,77.92,91,100,26.55,heavy intensity rain
109,Dauphin,CA,51.1494,-100.0502,73.54,49,1,10.36,clear sky
110,Karasjok,NO,69.4719,25.5112,46.51,80,99,14.36,overcast clouds
111,Zarubino,RU,42.63,131.0922,81.48,73,59,4.14,broken clouds
112,Kavieng,PG,-2.5744,150.7967,85.3,70,100,14.43,overcast clouds
113,Riyadh,SA,24.6877,46.7219,87.94,21,44,5.35,scattered clouds
114,Kaohsiung,TW,22.6163,120.3133,86.09,84,75,8.99,broken clouds
115,Upernavik,GL,72.7868,-56.1549,39.06,95,100,10.09,overcast clouds
116,Lagoa,PT,39.05,-27.9833,69.78,95,91,11.7,overcast clouds
117,Illora,ES,37.2877,-3.8811,78.24,42,0,0.0,clear sky
118,Dolores,AR,-36.3132,-57.6792,54.46,80,100,7.45,overcast clouds
119,Tono,JP,39.3167,141.5333,79.63,68,93,3.67,overcast clouds
120,Berlin,DE,52.5244,13.4105,67.95,75,0,5.01,clear sky
121,Carnarvon,AU,-24.8667,113.6333,62.67,56,91,11.5,overcast clouds
122,Mocuba,MZ,-16.8392,36.9856,64.42,69,90,6.22,overcast clouds
123,Shelburne,CA,44.0787,-80.2041,68.56,79,98,2.91,overcast clouds
124,Souillac,MU,-20.5167,57.5167,68.36,94,75,6.91,broken clouds
125,Leningradskiy,RU,69.3833,178.4167,39.69,80,99,7.52,overcast clouds
126,Hami,CN,42.8,93.45,85.86,45,62,15.12,broken clouds
127,Salalah,OM,17.0151,54.0924,77.45,97,100,12.95,overcast clouds
128,Marystown,CA,47.1666,-55.1483,57.85,100,9,5.01,clear sky
129,Alofi,NU,-19.0595,-169.9187,80.49,78,14,11.5,few clouds
130,Bundaberg,AU,-24.85,152.35,75.49,43,40,10.36,scattered clouds
131,Saint-Philippe,RE,-21.3585,55.7679,65.79,71,37,5.53,scattered clouds
132,Ilulissat,GL,69.2167,-51.1,38.35,92,100,6.42,overcast clouds
133,Inhambane,MZ,-23.865,35.3833,66.18,77,40,17.27,light rain
134,Pietermaritzburg,ZA,-29.6168,30.3928,44.76,68,2,4.45,clear sky
135,Victoria,HK,22.2855,114.1577,89.96,85,5,4.0,clear sky
136,Nome,US,64.5011,-165.4064,55.17,71,90,19.57,overcast clouds
137,Hokitika,NZ,-42.7167,170.9667,52.09,72,0,3.15,clear sky
138,Sarangani,PH,5.4033,125.4636,84.25,73,84,8.55,broken clouds
139,Mataura,NZ,-46.1927,168.8643,56.48,67,14,4.12,few clouds
140,Luanda,AO,-8.8368,13.2343,69.8,94,40,2.3,scattered clouds
141,Turbat,PK,26.0023,63.044,82.87,78,65,5.75,broken clouds
142,Obo,CF,5.3998,26.4869,67.19,97,99,3.74,overcast clouds
143,Lichtenburg,ZA,-26.152,26.1597,33.53,24,0,8.93,clear sky
144,Cape Town,ZA,-33.9258,18.4232,49.12,82,0,5.75,clear sky
145,Khatanga,RU,71.9667,102.5,57.99,55,98,5.46,overcast clouds
146,Zhezkazgan,KZ,47.8043,67.7144,81.95,28,0,1.25,clear sky
147,Sitka,US,57.0531,-135.33,57.09,82,90,11.5,light rain
148,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,74.43,42,67,4.83,broken clouds
149,Codrington,AU,-38.2667,141.9667,51.4,78,46,16.28,scattered clouds
150,Moirang,IN,24.5,93.7667,75.25,90,94,1.07,overcast clouds
151,Ilhabela,BR,-23.7781,-45.3581,64.4,89,11,6.44,few clouds
152,Bilma,NE,18.6853,12.9164,87.69,44,3,13.76,clear sky
153,Kamaishi,JP,39.2667,141.8833,83.35,79,76,7.83,broken clouds
154,Summerside,CA,46.3959,-63.7876,59.13,94,100,3.44,light rain
155,Ponta Do Sol,PT,32.6667,-17.1,71.71,77,1,5.88,clear sky
156,Benjamin Constant,BR,-4.3831,-70.0311,77.13,70,62,0.87,broken clouds
157,Sinnamary,GF,5.3833,-52.95,78.55,87,84,12.3,broken clouds
158,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,79.72,28,0,10.09,clear sky
159,Boa Vista,BR,2.8197,-60.6733,78.78,89,75,2.3,thunderstorm
160,Walvis Bay,NA,-22.9575,14.5053,67.15,9,0,20.71,clear sky
161,Buala,SB,-8.145,159.5921,83.71,75,87,5.17,moderate rain
162,Arklow,IE,52.7931,-6.1414,63.09,94,91,8.1,overcast clouds
163,Moussoro,TD,13.6408,16.4901,80.28,72,10,7.09,clear sky
164,Nelson Bay,AU,-32.7167,152.15,64.11,62,28,4.0,scattered clouds
165,Adrar,MR,20.5022,-10.0711,88.32,21,40,13.98,scattered clouds
166,Hopelchen,MX,19.7667,-89.85,79.23,74,100,3.65,overcast clouds
167,Ulladulla,AU,-35.35,150.4667,60.87,58,89,14.74,overcast clouds
168,Tiksi,RU,71.6872,128.8694,46.44,80,52,9.1,broken clouds
169,Yulara,AU,-25.2406,130.9889,60.64,36,91,10.36,overcast clouds
170,Tasiilaq,GL,65.6145,-37.6368,38.26,99,100,2.77,light rain
171,Boyolangu,ID,-8.1181,111.8935,79.74,65,24,8.99,few clouds
172,Amot,NO,59.5714,7.9877,59.52,86,6,1.12,clear sky
173,Voh,NC,-20.9667,164.7,82.72,46,5,6.51,clear sky
174,Avarua,CK,-21.2078,-159.775,78.85,65,20,12.66,few clouds
175,Buchanan,LR,5.8808,-10.0467,75.99,84,100,9.53,light rain
176,Talcahuano,CL,-36.7167,-73.1167,46.08,100,54,4.61,mist
177,Carutapera,BR,-1.195,-46.02,74.71,91,7,5.88,clear sky
178,Teya,RU,60.3778,92.6267,76.51,45,1,2.8,clear sky
179,Tobol,KZ,52.6844,62.5794,70.3,78,100,9.57,overcast clouds
180,Kurtamysh,RU,54.9103,64.4319,65.03,97,100,7.38,overcast clouds
181,Chicama,PE,-7.8447,-79.1469,64.94,86,72,9.01,broken clouds
182,Carstairs,CA,51.5668,-114.102,79.05,36,11,5.55,few clouds
183,Jalu,LY,29.0331,21.5482,78.19,43,0,8.57,clear sky
184,Manicore,BR,-5.8092,-61.3003,76.95,100,72,2.3,broken clouds
185,Lebu,CL,-37.6167,-73.65,48.99,83,100,8.72,overcast clouds
186,Vangaindrano,MG,-23.35,47.6,65.35,85,95,12.1,overcast clouds
187,Torbay,CA,47.6666,-52.7314,57.76,98,90,3.44,fog
188,Dakar,SN,14.6937,-17.4441,74.28,73,32,8.75,scattered clouds
189,Portobelo,PA,9.55,-79.65,79.86,91,98,6.96,overcast clouds
190,Bogovarovo,RU,58.9785,47.0246,47.64,97,96,8.57,overcast clouds
191,Verkhniye Tatyshly,RU,56.2912,55.8575,58.87,75,56,2.89,broken clouds
192,Tsalenjikha,GE,42.6044,42.0682,64.62,93,4,4.14,clear sky
193,Puerto Ayora,EC,-0.7393,-90.3518,72.55,86,43,1.99,scattered clouds
194,Marsa Matruh,EG,31.3525,27.2453,77.2,69,0,11.5,clear sky
195,Stornoway,GB,58.2093,-6.3865,57.92,93,85,1.14,overcast clouds
196,Sur,OM,22.5667,59.5289,88.36,63,79,11.61,broken clouds
197,Iacobeni,RO,47.4333,25.3167,55.11,87,93,0.2,overcast clouds
