City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
427,Veraval,IN,82.96,overcast clouds,20.9,70.3667,Lords Inn Somnath
429,Zhicheng,CN,77.04,light rain,30.2956,111.5047,Wangjiang Building
430,Timbiqui,CO,75.34,moderate rain,2.7717,-77.6654,hotel diana
431,Samana,DO,78.93,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
432,Zhuanghe,CN,82.44,scattered clouds,39.7008,122.9911,Hanting Express Dalian Zhuanghe Qiansheng
443,Chai Badan,TH,71.83,overcast clouds,15.2,101.1333,Narai Grand Hotel
445,Ouesso,CG,70.32,overcast clouds,1.6136,16.0517,ABENIE Hotel
446,Karratha,AU,76.91,clear sky,-20.7377,116.8463,ibis Styles Karratha
447,Iberia,US,83.98,mist,29.9502,-91.7507,back to back rv park
451,Nargana,PA,80.51,overcast clouds,9.4428,-78.5906,Dubbir
452,Ixtapa,MX,79.99,broken clouds,20.7,-105.2,Hotel Plaza Providencia
453,Takoradi,GH,74.39,overcast clouds,4.8845,-1.7554,Raybow International Hotel
454,Moose Factory,CA,73.4,clear sky,51.2585,-80.6094,Moosonee Lilypad
455,Goderich,CA,71.92,overcast clouds,43.7501,-81.7165,Harmony Inn
456,Isangel,VU,82.51,broken clouds,-19.55,169.2667,Tanna Lodge
457,Hirara,JP,82.67,mist,24.8,125.2833,Hotel Atoll Emerald Miyakojima
461,Araioses,BR,75.78,scattered clouds,-2.89,-41.9031,Pousada Mangueira
464,Milos,GR,74.12,clear sky,36.75,24.4333,Ξενοδοχείο Αγνάντι
466,Mayo,US,76.24,clear sky,38.8876,-76.5119,Resorts Resource Group International
467,Tianpeng,CN,83.62,broken clouds,30.9866,103.9393,Shuangliu Love Home Business Hotel
468,Meadow Lake,US,75.11,broken clouds,34.8014,-106.5436,JKL Inc. R.V Park and Storage
470,Tevaitoa,PF,78.03,few clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
471,Kochubey,RU,73.33,scattered clouds,44.3861,46.5825,Придорожный комплекс EUROPA
472,Tual,ID,79.59,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
474,Bang Mun Nak,TH,75.69,moderate rain,16.0278,100.3792,NIDA Rooms Phichit 55 Bang Mun Nak
478,Kpandu,GH,71.26,scattered clouds,6.9954,0.2931,Emo House
479,Banda Aceh,ID,84.02,overcast clouds,5.5577,95.3222,Sulthan Hotel International
480,Xining,CN,75.09,clear sky,36.6167,101.7667,Super Leisure Hotel
481,Kutum,SD,72.79,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
482,Wajir,KE,73.76,few clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
485,Bolobo,CD,70.48,scattered clouds,-2.1667,16.2333,Hotel de Stephen
492,Galle,LK,79.21,broken clouds,6.0367,80.217,Amangalla
495,Eydhafushi,MV,82.42,overcast clouds,5.1033,73.0708,Soneva Fushi
497,Bougouni,ML,70.56,overcast clouds,11.417,-7.479,Non Stop
501,Tiruchchirappalli,IN,82.51,haze,10.8167,78.6833,Sangam Hotel
507,Gunjur,GM,75.27,clear sky,13.2019,-16.7339,Kuba Lodge
509,Jiayuguan,CN,84.58,scattered clouds,39.8167,98.3,Jiugang Hotel - Jiayuguan
510,Vitim,RU,75.76,clear sky,59.4511,112.5578,Gostinitsa V Apteke
515,Trinidad,BO,72.84,clear sky,-14.8333,-64.9,Hotel Piesta
518,Auki,SB,83.46,scattered clouds,-8.7676,160.7034,Auki Motel
522,Pedasi,PA,78.6,overcast clouds,7.5333,-80.0333,Selina Pedasi
523,Poum,NC,74.16,clear sky,-20.2333,164.0167,Gîte kajeon
526,Vanimo,PG,76.71,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
528,Panaba,MX,79.68,overcast clouds,21.2833,-88.2667,Posada rosario
529,Pemba,MZ,70.5,broken clouds,-12.974,40.5178,Guesthouse Samotina
532,Brookings,US,84.49,scattered clouds,44.3114,-96.7984,"Holiday Inn Express & Suites Brookings, an IHG Hotel"
535,Lakatoro,VU,80.55,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
538,Suamico,US,81.37,broken clouds,44.6319,-88.0393,"Country Inn & Suites by Radisson, Green Bay North, WI"
539,San Quintin,MX,70.43,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
542,Alta Floresta,BR,73.24,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
544,Gonaives,HT,80.35,scattered clouds,19.45,-72.6833,Vertières Doux Séjour
545,Dasoguz,TM,73.35,clear sky,41.8363,59.9666,Ташауз Отел
547,Grand-Santi,GF,72.79,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
549,Erzin,TR,82.0,few clouds,36.9559,36.2,Artemis Otel
551,Celestun,MX,81.86,overcast clouds,20.8667,-90.4,Posada Lilia
553,Ayagoz,KZ,74.43,clear sky,47.9714,80.4392,Gostinitsa Nur
555,Pokhara,NP,74.93,overcast clouds,28.2333,83.9833,Butterfly Lodge
556,Chifeng,CN,84.06,overcast clouds,42.2683,118.9636,Junyu Tiancheng Hotel
558,Manggar,ID,84.9,few clouds,-2.8833,108.2667,Guest Hotel
561,Gossaigaon,IN,84.02,few clouds,26.4481,89.989,Daory Dhaba
563,Tura,IN,76.84,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
564,Matara,LK,78.3,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
570,Vung Tau,VN,83.77,broken clouds,10.346,107.0843,Green hotel
571,Santo Antonio Do Ica,BR,78.12,overcast clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
574,Benicarlo,ES,78.19,clear sky,40.4165,0.4271,El Pinche De Oro
575,Biak,ID,78.71,broken clouds,-0.9131,122.8766,Penginapan Kim
576,Betong,TH,80.8,overcast clouds,5.7743,101.0723,New Cathay Hotel
577,Charleston,US,82.02,few clouds,32.7766,-79.9309,The Mills House Wyndham Grand Hotel
578,Tulun,RU,70.16,clear sky,54.5611,100.5792,Квартира
579,Meulaboh,ID,80.98,moderate rain,4.1363,96.1285,Kost Pria
582,Roblin,CA,72.21,broken clouds,51.23,-101.3565,Harvest Moon Inn
585,Puerto Colombia,CO,80.69,broken clouds,10.9878,-74.9547,Hotel El Emigrante
589,Forestville,US,75.34,clear sky,38.8451,-76.875,Quality Inn Near Joint Base Andrews-Washington Area
592,Skovorodino,RU,74.32,light rain,53.9833,123.9167,Лесная Застава
594,Mao,ES,79.36,clear sky,39.8885,4.2658,ARTIEM Capri
595,Maceio,BR,72.84,broken clouds,-9.6658,-35.7353,Poutur Pousada
596,Manaure,CO,81.27,overcast clouds,11.7751,-72.4445,Hotel Palaaima
597,Kurchum,KZ,73.71,broken clouds,48.5722,83.6542,"Gostinitsa ""Kneda"""
598,Sri Aman,MY,84.25,few clouds,1.2376,111.4621,Seri Simanggang Hotel
599,Hobyo,SO,76.71,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
604,Santa Rosa,PH,78.91,moderate rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
605,Dhidhdhoo,MV,81.43,overcast clouds,6.8833,73.1,Dhidhoo beach
606,Ulaangom,MN,75.22,clear sky,49.9811,92.0667,Achit Nuur Hotel & Restaurant
608,Muisne,EC,75.04,overcast clouds,0.6,-80.0333,Quinta Samay
614,Bodden Town,KY,84.2,few clouds,19.2833,-81.25,Will T Place
615,Tazmalt,DZ,84.87,clear sky,36.3868,4.3989,Hôtel Numédia
616,Coahuayana,MX,80.31,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
618,Ishigaki,JP,80.73,light intensity shower rain,24.3448,124.1572,Hotel Peace Land Ishigakijima
621,Bontang,ID,84.34,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
622,Guaruja,BR,70.92,clear sky,-23.9931,-46.2564,Charme Hotel Guarujá
624,Loikaw,MM,74.37,overcast clouds,19.6742,97.2094,Myat Nan Taw Hotel
625,Akropong,GH,72.55,broken clouds,5.9746,-0.0854,Vip Lodge
626,Robertsport,LR,76.75,light rain,6.7533,-11.3686,Kwepunha Retreat
627,Wilmington,US,80.91,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
631,Senador Pompeu,BR,75.58,scattered clouds,-5.5881,-39.3717,Hotel Central
633,Alcudia,ES,83.25,scattered clouds,39.8532,3.1214,Zafiro Tropic
634,Benghazi,LY,78.33,clear sky,32.1167,20.0667,Tibesti Hotel
636,Along,IN,83.89,scattered clouds,28.1667,94.7667,Hotel West
639,Mana,GF,77.11,broken clouds,5.6592,-53.7767,LE SAMANA
640,Puri,IN,84.38,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
644,Minbu,MM,84.76,scattered clouds,20.1833,94.8833,Pan Tha Tin Guest House - Burmese Only
650,Ergani,TR,77.72,clear sky,38.2653,39.7621,Serkan Hotel
652,Apricena,IT,76.87,clear sky,41.7839,15.4437,Bed & Breakfast CORSO ROMA
